urlDrugName,rating,effectiveness,sideEffects,condition,benefitsReview,sideEffectsReview,commentsReview
botox,10,Highly Effective,No Side Effects,aging,the treatment (eyes & forehead) was highly effective and lasted 6 months each of the 3 times I was treated. I have a very deep vertical line between my eyes which was all but invisible with each treatment. I loved it!,none,"Botox was administered to my forehead and outer eye area (crows feet) via small gauge needle. Totally painless. It took about 3 days for the drug to take effect but once it did, it kept the wrinkles at bay for approximately 6 months."
flonase,8,Highly Effective,Mild Side Effects,nasal polyps,Treatment began to work after 3 days. I had not been able to smell for 10 years and my smell is now restored.,"increased anxiety maybe not due to Flonase, as I suffer with anxiety any way.","I tried the drops as my nasal polyps were so big that i was suffering frequent sinus infection. I was advised to take the drops for 4-6 weeks before i may see improvement. The drops worked after 3 days, the nasal polyps shrunk I could breathe with my mouth closed and I could smell and taste again. I am delighted."
lamisil,5,Considerably Effective,No Side Effects,yeast,"not noticable, supposed to clear all yeast from body because I had been feeling bloated, kept getting yeast infections and when I had colonics the lady told me that I had an abundance of yeast.  Makes sense cuz I drink a lot of beer and don't eat too healthy.",none,"Take one tablet, once a day for two weeks.  I was also supposed to eat a lot of yogurt and take a pro biotic pill once and a while.  Affects were not noticible and I have no idea whether I really had yeast over growth and whether it did any thing beneficial or not."
premarin,10,Highly Effective,No Side Effects,hormone replacement,"After my hysterectomy, I was depressed, didn't want to have company, was suspicious of everyone and everything. I wasn't feeling like my former self at all.  Once I began the hormone replacement therapy (Premarin), I began to feel much better immediately.  The depression left and I felt younger and much more able to cope with daily life.  I take Premarin (.625mg) daily.",some weight gain,I have remained very stable and have a good outlook on life.  Do not feel my age.
imodium,8,Considerably Effective,No Side Effects,diarrhea,The effect of the drug starts immediately but still the care is needed in the food. The drug is also inexpensive and widely available in the drug store.,There was no side effects of the drug.,"The drug is generic and I took the drug at home without doctor's prescription. 2 Capsules days, each morning and evening before food."
zoloft,8,Considerably Effective,No Side Effects,depression,"Became less emotional and therefore able to function better in everyday settings,especially as I experienced no side-effects.",none,"200 mg once a day for seven years so far has worked very well,and will continue to take this medication at this dosage for at least another year,maybe more."
lamotrigine,10,Highly Effective,Mild Side Effects,bipolar 2-extreme moods swings,"My miracle drug!! I have suffered for years with extreme mood swings, depression, and bulimia. It was several months ago that I was diagnosed with bipolar 2-I was immediately prescribed Lamictal-I didn't really notice a difference so my dr. upped it to 150mg. It has worked wonders! I am so proud to say that I am happy and I haven't felt this elation in years! I can actually stay awake during the day, I have the drive to exercise, my labido is back(sure did miss that), almost no mood swings at all and most importantly I feel like a mother again! I have 3 beautiful little girls that I can hug, kiss, and love again!! I feel like crying-in a good way-everytime I think about how happy I am! My only fear is wondering how long this will last-I can only pray this will last forever.","The only side effects I have (I consider 2 of these not even side effects at all)headaches, staying asleep at night, weird fever like feeling, increase in sexual drive and weight loss. All are tolerable considering the benefits.",150 mg a day-taken before bedtime
synthroid,8,Moderately Effective,Mild Side Effects,hypothyroidism,"The synthetic thyroid hormone treatment made it so I was at least able to function, sped my metabolism up enough to keep warm and have regular menses.",Side effects come from taking either too little or too much Synthroid. It is a tightrope balancing act and the blood work is not specific enough to guide the clinical course.,"""Compared to others who naturally have a functioning thyroid, it is clear to see that Synthroid is an inferior product to what the thyroid makes naturally in a healthy individual. I know that I still have minor hypothyroid symptoms even when my blood counts show that I have therapeutic levels of the medication. Additionally, generic versions of Synthroid seem to be even less effective at relieving all the symptoms, even though the blood counts could be normal. With hypothyroidism becoming a very common condition these days, one would think that new medications would be coming out, but the medical professionals seem content to stick with Synthroid because """"on paper"""" it seems to be safe and effective."""
alendronate,3,Marginally Effective,Moderate Side Effects,bone density tests showed early osteo.,"Very limited for the amount taken.  New bone density showed slight improvement, ie 2 years ago spine was -3.3, now is -2.9.","The feeling of a lump in my throat, due to reflux.  Had to take meds to counteract.  Muscle pain, leg cramps, joint pain. IBS. I plan to stop taking it, and research natural ways to manage bone loss.","Bone density studies were done every two years.  Very slight improvement. After 10 years, I am still not at normal bone density."
asacol,3,Marginally Effective,Moderate Side Effects,ulcerative colitis,Flare-ups were less frequent as well and the duration of time they lasted was less. I noticed that it didn't help with the amount of bowl movements I was having but it did help stop the internal bleeding.,"Nausea, cramping, abdominal pain were just some of the bigger side effects. Sometimes the stomach pain was so painful it was worse then an actual flare-up.","I stopped taking Asacol because of the intense stomach pain it caused me as well as the nausea. I found that while taking Asacol, my falre-ups did decrease but the side effects outweighed the benefits."
hytrin,10,Highly Effective,No Side Effects,high blood presure,Tried many different drugs all either failed to reduce my blood presure or had side effects which I did not want to live with. Hytrin has brought my blood pressure under control with absolutely no side effects,none at all,I take one tablet of the generic for Hytrin which is Terizosin each night and bed time and am monitored for my blood pressure control by my physician at six month intervals
prozac,9,Highly Effective,Moderate Side Effects,depression,Reduced depression and feelings of hopelessness within 3 weeks. I like being able to increase dosage when things get a little rough and then back off to the original dosage when things settle down.,"""Extreme sleepiness, feeling """"out of it"""".  It was really hard to work and be on this medication.  I wanted to give it up as I literally could not stay awake but I made it though the first 6 weeks and things were better after that.  I have been on it for 10 years now and do not notice any side effects.""","Took pill once a day and visited therapist once a month.  After awile, I didn't go to the therapist anymore and I was extremely even with just the medication."
meridia,10,Highly Effective,Mild Side Effects,"overeating, weight gain","I lost 90 pounds in 6 months. The key was drinking water all throughout the day. I ate 1 meal a day before 6pm & snacked on fruit (applesauce, fruit cups, canned fruit,etc.)  all through the day (instead of fast food, icecream, chips or any other food that is unhealthy). I saw no results in the first month, but once 30 days had passed, I started to lose 1 lb. a day & sometimes 1 1'2 lb. a day. Even after getting off of Meridia, I still continued to lose weight 2 months later. Product was VERY expensive but worth it! The more weight you have to lose the more you WILL lose!","Insomnia sometimes. My bedtime(before Meridia) was around 10pm but once I began taking the medicine, I couldn't sleep sometimes until 12am or 1am, but even with lack of sleep, I never felt fatigued like I thought I would. Every once in a while, mild headaches & dry mouth. But nothing too major or life-threatening.","Lost 91 lbs. in 6-7 months. Kept the weight off even to this day (4 years later) b/c the Meridia taught me the key to weight loss: Less calorie intake. And since the Meridia trained my body to get full quicker, I was able to still eat & crave less even after getting off of the medication."
adipex-p,9,Considerably Effective,Mild Side Effects,"overweight, self confidence","I have more energy, the want to do things (clean house, walk, and normal daily activities). It boosts my self confidence. I am more happy now. I have more fun with my 2 children. I have no appetite what so ever, which to me is an awesome thing whereas before I could eat my 3 meals a day and snack a million times in between. I actually like the taste of water now. I didn't drink pop much at all before but now if I take a drink of pop it tastes nasty so that is a very big plus.","Very dry mouth, diareah(sp) for a few days then constipated for a few days routine, mood swings.","See above, sorry."
noroxin,1,Highly Effective,Extremely Severe Side Effects,prostatitis,"The bacterial infection in the prostate was quickly controlled, immediately .","After taking Norfloxacin, I developed severe peripheral neuropathy. This has lasted for 18 months, and still remains. The peripheral neuropathy is now treated with Lyrica","The Norfloxacin treatment was given whilst I was an in-patient at hospital, and continued after returning home"
cymbalta,4,Moderately Effective,Moderate Side Effects,depression,"The benifit of taking the drug was to decrease the symptoms of depression and anxiety. In addition, the drug did not suppress the libido on the opposite it increase the sexual desire.",Side effects were many.  THEre was a decrease in energy levels and dizzines.  There was weight gain. At the end of the 30 days period the feelings of depression were still an issue,"The treatment consisted of taking 30mg every morning for thirty days.  Also, started an exercise program to increase the endorphins levels in the brain.  The doctor suggested fifteen minutes of sunshine a day. After the thirty days period the follow up consisted of answering questions about the positive and negative  effects of the drug. After reviewing the answers it was determined that I needed to be on a higher dosage because the symptoms of depression were still an issue.  The increase in dosage was from 30mg to 60mg and still at the end of thirty days there was mo change in the symptoms.  Finally I had to switch to another medication which so far it has worked fine."
effexor,9,Highly Effective,Mild Side Effects,depression,"Signifigantly reduced depression, social anxiety. Mild side effects.","Forgetfullness, some manifestation of laissez-faire attitude (not caring as much about work issues, but in some ways this is a good thing! As long as you don't end up slacking off too much), harder to reach orgasm (but much better than Paxil or Prozac in this matter).","""I've been on Effexor for about 7 years, and love it. It doesn't make you sleepy or passive. It doesn't kill your sex drive, though it is reduced a bit, and it's still harder to reach orgasm. Best part about this med is that it doesn't make you sleepy or foggy. "
fosamax-plus-d,10,Highly Effective,No Side Effects,osteoporosis,"Between 1998 and 2006, when I was going through menopause, my bone density went from normal to borderline osteoporosis, as shown by the results of two bone density tests given on those dates. After I received my bone density results in 2006, my physician put me on Fosamax, which I have taken regularly for the past two years.  When I took a bone density test recently in 2008, my bone mineral density had increased by almost 6% over a two-year period. I remain in the range of osteopenia, but am midway now between normal and osteoporosis in my T-scores.",I have experienced no adverse side effects at all while taking this medication.,"I take a pill in the morning when I get up, once a week, on the same day each week.  I take it with an 8 ounce glass of water and do not lay down, eat, or drink anything for at least 30 minutes. I also take calcium/d vitamin supplements daily, eat plenty of dairy products, walk at least 3 times a week, and avoid alcohol and soft drinks.  I was already following these dietary habits when my previous bone density tests were done.  Because of that, I credit fosamax with the improvement  that has taken place."
ortho-tri-cyclen,10,Highly Effective,No Side Effects,birth control,"I felt great. Highly effective at preventing pregnancy. My skin looked decent while on the pill as well. I had a doctor tell me once that this pill was one the best birth controls to use. I agree, seeing as I am the patient. Its always nice to know when to expect your period :)",None,"I took one pill a day, everday, for 2 years."
niacor,10,Highly Effective,Mild Side Effects,hypercholesterolemia w/ low ldl,Very effective increase of HDL,Flushing in the beginning.,"""I added supplements after statins were not effective at raising HDL to """"good"""" levels. Although excellent at reducing LDL. The most dramatic effect was the addition of Niacin. I've added other anti-oxidants and supplements since, but the measurable results from Nicin therapy were dramatic."""
tramadol,3,Highly Effective,Severe Side Effects,pain relief (glenohumeral instability correction),Virtually no pain.,"Mental numbness, feebleness, lethargy, depression, cognitive dysfunction.","Due to the above mentioned side effects, I stopped with the Tramadol after just two days and opted for  pain and paracetamol."
hydrochlorothiazide,6,Considerably Effective,Mild Side Effects,high blood pressure,Reduced the blood pressure with few side effects at first,"dehydration - this problem grew as the years passed and I seemed to become more sensitive to the drug.  I finally started taking a 1/2 dose.  I had dry eyes, constipation, mouth breathing.   I would drink too much beer if I started drinking because I was so thirsty. Dry skin became an irritating problem.  This problem has improved since I changed medications.","The drug was very helpful at first.  It improved my concentration, my ability to focus and pay attention increased and I slept better.  As the years passed, I became aware that I was in a state of semi-dehydration much of the time.  This did not dawn on me until I had taken the drug for over seven years.  I started to keep water at my desk and drank a quart and a half on average every day just during the day at work.  This helped considerably, but the dry skin and constipation finally lead to my asking the doctor for a change.  I am curious if there is any connection between the dehydration and potential dementia."
nasonex,10,Considerably Effective,No Side Effects,allergies,reduced sore throats and headaches due to allergies,I have had few if any side effects from Nasonex,Allergist prescribed Nasonex years ago to combat my allergies without drying me out like many antihistimes.  I believe that this medication helped me avoid the recurring sinus infections that I had had in the past.
zmax,10,Highly Effective,No Side Effects,cold / flu,Quick relief of flu-like symptoms,I have never had any side effects from this medication.  My husband and 13 year old daughter also take this without any side effects.,"The first day, you take 2 pills and then for the next four days you take 1 pill.  The packaging is excellent and tells you exactly what pills to take and when to take them.  As previously stated, no one in my family has experienced any side effects from taking this medication.  We have taken both the Z-pak and the generic form.  It works incredibly fast and has saved us from many vacation disasters!"
diazepam,8,Highly Effective,Mild Side Effects,airplane flight anxiety,I can now fly without flight or pre-flight anxiety. I used to worry for two weeks about getting ono and airplane.,"I will get a slight headache, a few hours after I take the drug. Usually not bad enough that it's actually painful, just annoying.","I take the diazepam about 1.5 hours before the plan takes off. Not hard to do, not that I have to get to the airport so early:)."
geodon,10,Highly Effective,Mild Side Effects,bi-polar disorder,The benefits are numerous. With the Geodon I haven't suffered from a bout of depression in app. 2 1/2 yrs.. Before the Geodon I suffered from depression for months at a time. I haven't been or felt suicidal at all since beginning the drug. With Geodon I am on an even keel. By that I mean that I do not suffer from the peaks and valleys of typical bi-polar disorder. I no longer have manic episodes for days and then sink into a dark depression. It has made most of my bi-polar traits go away.,"The side effects are: dry mouth, possible headache,",The treatment for me is to take 2 80mg capsules of Geodon daily and follow up with a psychiatrist.
biaxin,8,Considerably Effective,Moderate Side Effects,strep throat,"The side affects were not so bad. The pills were easy to take, and got them from Publix so they were vanilla flavored.","I had a yeast infection, and also a weird dry patch of skin on my bottom lip.","The process was slow for me, and it did not work in two or three days like the doctor said. I did notice that each day it became easier and easier to swallow things."
tazorac,9,Considerably Effective,Mild Side Effects,acne,This product reduced the severity of the breakouts and reduced length of time of the acne outbreak.  It was effective in reducing the outbreak but it does not eliminate or reduce blackheads unless an inordinate amount of ointment is applied daily.,Generally a mild peeling occurred on the areas where the ointment was applied - some itchiness as well but not very often,cleanse with a non abrasive facial cleanser and dry face.  Then apply cream to the affected area
amoxil,9,Highly Effective,Mild Side Effects,strep throat,Infection gone.,loose stool,none
adipex-p,7,Considerably Effective,Mild Side Effects,obesity,"""It was able to supress my hunger enough to """"get through"""" the tough times and not be so grumpy about it :)  Simply, I was not STARVING all the time, and it made the weight loss bearable.  It was not EASY, but it gave me the drive to keep going because I wasn't so miserable while doing it. I ate a 1200 calorie a day or less diet and exercised many times a week...so I would have lost weight anyway, but it just made it easier.""","Dry mouth, constipation at times, sometimes felt a bit like my heart raced under stress after taking it for a long time.","One tablet a day for about a year to help aid in weight loss.  I have been able to keep it off give or take a few pounds, almost a year later."
vyvanse,4,Moderately Effective,Severe Side Effects,"sggression, hyperactivity",So far I've been sad to say the the side effects are worse for him. I want to continue the drug longer to hope that the side effects will decrease.,"trouble sleeping, more hostile behavior, emotional frustration, even more decreased appetite.",We just changed from Adderall xr to Vyvanse because of a change in doctors from Ohio to California. We were hoping for the more lasting effects of Vyvanse with less side effects.  The verdict is still out.
effexor,6,Highly Effective,Mild Side Effects,depression,depression reduced - I had taken it at a lower dosage at first - but his had no effect - at all - so psychiatrist had to prescribe a higher dosage than the family doctors are allowed...the effect was amazing - I suddenly felt a 100% better after  a week or so - I had been on the lower dosage for months with no effect.,"I felt nauseous. Gradually I became acclimatised the effects- so after the initial boost I felt normal again - like I could engage with life. After a while (6-months) I felt like I was experiencing a distance because of the drugs, instead of feeling engaged in life like I had felt initially, I felt like I was veiled from it.","I was prescribed increasing doses by my family doctor until he had reached the maximum (150) he could prescribe. I tried to commit suicide, I was referred to a psychiatrist who doubled the dose. After seeing the psychiatrist twice over 2 months. I did not have to see her again. And my family doctor could continue to prescribe at this higher dose."
prozac,9,Considerably Effective,Mild Side Effects,depression,"""Before taking Prozac I had no energy or joy - I could barely lift my head off the pillow in the morning. I just wanted to stay in bed. When I first started taking it, I could feel it physically - I felt a little """"giddy"""" and my eyes felt/looked glazed. But over time, those feelings went away and I just felt normal. I no longer felt like I was on a drug - I just felt good. I could get up in the morning and looked forward to each day.""","I had very vivid dreams/nightmares the entire time I took it. Eight years later, I can still remember many of them and the way they made me feel. I gained weight (from 115lbs to 130lbs).",I began by taking 5mg tablets one time a day for one week. The next week I increased to 10mg tablets on time/day. I took Prozac for one year. When I stopped taking it I reduced the dosage to 5mg tablets one time a day for about 2 weeks. I did not have any ill effects when I quit taking it.
effexor-xr,6,Moderately Effective,Moderate Side Effects,chronic depression,My anger and depression seemed to get much better within 3 weeks of starting on 75 mg. My dose was eventually increased over time to 150mg.  My family noticed a difference in my attitude.,"At first I was very tired so instead of taking the dosage in the morning, I switched to bedtime.","""My depression is better over the years but I have less desire for sex.  I have found it tremendously difficult to maintain or loose weight.  The weight problem seems to have increased over the years to a point where I would like to try and stop or at least decrease the medication.  The problem is that when I wanted to have a 3rd child, I decided to discontinue the medication and the effects of stopping Effexor were horrible.  I have seen problems when I miss a dosage so I am scared to try and stop the medicine.  Before I when I """"weaned"""" off the medication I had severe headaches, nausea, and dizziness. I am worried about trying to quit again but I  am having such problems with trying to loose weight that I want to try."""
lexapro,1,Ineffective,Extremely Severe Side Effects,anxiety depression,Absolutely none. This drug destroyed my marriage. I was so irrationally angry over really stupid stuff. I was raging at my husband for no reason. And it made our marriage crazy to the point that we separated and divorced. I have been told this drug does cause anger in perfectly normal people and that it is like being on speed or cocaine. I would pull this drug from the market.,Irrational Rage. It has nothing to do with my mental state but the fact that the drug does this to everyone. You have to let it build up in your system because your body is trying to reject a poison. You become addicted. No different than cocaine or speed freaks. It is such a lie.,"""Once a day. I was drooling as I slept. When I could sleep. I was edgy all the time. I was in a brain fog. And nobody knew that I wasn't crazy. This damn drug was making me crazy. I told my stupid shrink that I needed to be calmer and he gave me speed. I told him I was getting irrationally upset and he doubled the dose. I have been seriously depressed and screwed up emotionally and physically for three years.  I want to sue the drug company."
paxil,10,Highly Effective,No Side Effects,depression/anxiety,I had several episodes of extremely high blood pressure 212/90 was one reading.  It was mainly a product of work related stress and being overweight.  First I was treated with Prozac for the depression/anxiety and became suicidal.  With the Paxil and Lisinopril combination my blood pressure is controlled and I do not suffer from depression nor anxiety.  I respond to outside stimuli in a more normal way.,None,"Lisinopril 1 tablet 20 mg daily, Paxil initially was 15 mg increased to 30 mg. daily."
avita,8,Considerably Effective,Mild Side Effects,acne,It reduced my acne considerably. It provided a very smooth feeling to my skin that I did not experience with anything prior to using this medicine. It also gave me a rosier complexion with a glow.,The only side effects i experienced were a slight stinging feeling. this subsided after the first two weeks. If the stinging sensation does not subside it is preferable to use it every other night instead of every night.,I used this every night after cleansing my face. I waited about fifteen to twenty minutes before the application. It was also recommended by my doctor to wear sunscreen the next morning since this medication causes skin sun sensitivity.
requip,10,Highly Effective,Moderate Side Effects,rls,"I was finally able to get the deep sleep that I needed to function. Other problems that I have- Interstitial Cystitis, Fibromyalgia, Insomnia, etc.- seem to be improving because of the sleep that I am getting.",I seem to have periods of vomiting that last for several days. It happens monthly and I really am not sure what interacts with medicine those days and not the others. I did build up to my dosage .25mg every 3 days to try and limit the effects.,I take the medicine about 30 minutes before I go to bed because I only get about 4-6 hours of relief.
ambien,8,Considerably Effective,Mild Side Effects,insomnia,I could fall asleep and was usually well rested.,Sometimes still tired in the morning despite having slept. I think a drug hangover so to speak.,Taken as needed to sleep during a stressful situation.
niaspan,9,Considerably Effective,No Side Effects,reduce cholesterol,this medication allowed patient to reduce other cholesterol lowering medications while still keeping high cholesterol under control,the patient did not experience any side effects,the patient was warned about possible flushing as a side effect. he started at a low dosage and slowly in creased over the period of a year to the maximum amount suggested by doctor and never experienced any flushing. He is very pleased with the results and will continue with this medication.
seasonique,5,Moderately Effective,Moderate Side Effects,i took seasonique just  to prevent pregnancy,Seasonique was great for me as a birth control method instead of condoms and I experienced no spotting or bleeding the whole 3 months before my period.,"When I took seasonique I was very very moody and emotional. I have naturaly good skin, and do not break out often at all. Seasonique made me break out quite a bit. I am not taking seasonique for another 3 months.",Seasonique is taken once a day at the same time for 3 months.
lamictal,8,Considerably Effective,No Side Effects,bi-polar 2,"I feel much more stabilized on this drug. However the 200 mg.did quit working after about year and a half, and I was hospitalized with a mixed episode. My Lamictal was raised to 400 mg. 200 at night and 200 in the AM. I am told this is the highest theraputic level for this drug for treating bi-polar. I am much more even but am also still on Geodon and kolonpin once a day. I am weaning off of zoloft-am at 50 mg. once a day at moment. I feel the real med that has helped is the Lamictal, I hope to wean off the rest of meds after being stable for a length of time.","I do not think I have or had any side affects. It is hard to tell because I am on more than one drug, and while in the hospital I was on others. I am also alcholic so like that Lamictal is not habit forming. I am afraid I will put on weight as others have reported.","Diagnosed with Bi-polar 2 WITH MIXED EPISODES AND RAPID CYCLING. Had been perscribed many SSRI'S, due to depression but never fully treated for bi-polar because I felt like I deserved and did not want to give up the few highs I had when not depressed. I also did not believe I was bi-polar when dignosed 12 years ago as an in-patient, because I had no understanding of mixed episodes and rapid cycling. I thought when I was hypo-manic, it was just a great relief and celebration of not being depressed. I was also not honest about my alcohol abuse until about 6 months ago, and have since stopped drinking, which allowed me to realize I was quelling the manis with alcohol, and with out it I was more unstable and manic. My only fear now is that without an anti-depressant I will suffer depression again."
zyrtec,10,Highly Effective,No Side Effects,allergic rhinitis,"no watery itchy eyes, no runny stuffy nose. no sneezing. Normally my eyes are sticky and itchy and I sneez unconrtoallably. Also y nose woudl get completely stuffy and drip water constantly.",I had no drowsiness or hyper feelings. I felt completly normal.,Very easy...just take once a day with water. It worked for 24 hours. It was small and east to swallow as well.
metformin,8,Highly Effective,Mild Side Effects,diabetes,the benefit was a lowering of blood sugar and metformin does that very well without leading to hypoglycemia which can happen with some of the other anti-hyperglycemic drugs.,Side effects include stomach upset and diarrhea but this usually goes away in about 2-3 weeks.,"Metformin 500 mg taken twice a day. This controlled by blood sugar but it is important to realize that the medication does not peak until about 4-6 hours after it is taken. This is important knowledge to have in order to time the administration of the drug. When I took it too close to dinner time, it was not as effective as when I took it 4-5 hours before dinner. I wish my healthcare provider or pharmacist had told me when it peaked but that information came from a diabetes educator. I got better control after I knew when to take my dose."
citalopram,7,Considerably Effective,Moderate Side Effects,depression,I feel better about myself and less anxious and depressed.,I have taken it for almost two weeks now and I feel really tired and increased yawning. I have taken it during the day and at night which in the morning  I feel tired still.,I take it once a day at 20mg per pill. I do better on it now then I do without it. So I will keep my fingers crossd and hope the sleepness goes away.
lexapro,1,Ineffective,Extremely Severe Side Effects,clinical depression,The treatment benefits were very minimal because of the severe rage that I experienced. I don't think I benefited at all from taking this drug.,"This drug was very toxic to my system because it caused severe rage. I really was never relieved from my clinical depression because I kept hoping that the drug benefits would kick in and kept on taking it until one day I realized that I had to stop taking it. After about 2 months, I realized that I was very agitated constantly. I just thought that it would eventually go away but it never did. My nervousness was getting extreme. One day, I was in a grocery store shopping, pushing a grocery cart, and a little boy walked in front of me pushing a toy cart. I was so agitated that I had an INTENSE DESIRE to ram him with my shopping cart. I realized that this behavior was NOT ME and that the Lexapro was causing the severe rage. I also had a constant desire to start running down the street as fast as I could and NOT stop. I also couldn't sleep at night and if I was able to go to sleep finally, I would only stay asleep for a few hours. I sure hope this medication is taken off the market because it could cause some unstable patients to take other's lives from the severe rage.","""This medication is manufactured by Forest Pharmaceuticals, Inc., a subsidiary of Forest Laboratories, Inc. in St. Louis Missouri 63045. I was given the prescription of taking 10 mg. once a day. I cannot even imagine what would have happened to me if I had taken the full dosage recommended of 20 mg. I would have probably hurt someone badly. I have always suffered from clinical depression and have taken many different medications. Right now, Paxil is helping me with my depression a little. I think that I need to have it """"upped"""" because the usual dosage isn't as effective as it once was. Anyway, my psychiatrist prescribed Lexapro for me because he really believed that this new drug would be just perfect for me. I had no idea that it would cause such turmoil in my life. I was in a constant state of nervousness and my panic attacks had started to get much worse. I just thought that my daily routine was the cause for my anxiety but realized when I had the desire to shove my shopping cart into a little boy who walked in front of me in the store, as I stated before in this report, that I had to quit taking Lexapro. Sometimes, I would sit on my sofa at night and want so badly to just scream at the top of my lungs. My therapist just told me to take a pillow, put it over my face, and scream at the top of my lungs. I was afraid that my neighbors would call the police if they heard me. That was no way to live. This medication was so toxic to me that if I had not realized what it was doing to me, I might have even taken my own life. Because of my great faith in God, I didn't kill myself and finally realized that I had to call my doctor immediately the next morning to report what Lexapro was doing to me. I also have a friend who is taking Lexapro and has taken it for sometime. She also shows signs of rage at times. Just a minor infringement on her and she will go into a state of rage (but not as bad as I did). I have tried to tell her that she needs to get off Lexapro but she just thinks that OTHER people are intimidating her. One day, when she rams her car into someone elses because they pulled in front of her, she will finally realize that Lexapro is not the drug for HER either. I really do think that Lexapro should be taken off the market until further testing is done. I would NEVER recommend this drug to anyone. It is just too unstable."""
minocycline,7,Considerably Effective,No Side Effects,acne,"Acne significantly reduced or disappeared, but returns immediately upon stopping treatment.",None,"I've been on Minocycline for five years. My acne was significantly reduced on 100mg/day dosage. Acne completely disappeared after dosage was upped to 200mg/day, except still get acne during week of menstruation. Acne immediately returns upon stopping medication."
elavil,4,Moderately Effective,Moderate Side Effects,"insomnia, migraines","Took 25mg for insomnia for about 3 weeks. Did not notice a difference. The Doctor Prescribed 50mg, and still no difference. Finally, I was prescribed 75mg and have been taking that dosage for about 2 months.I do sleep a little better than before, but I still do not sleep through the whole night.","I would wake up and could not fall back to sleep. Also, I have had an appetite out of this world. I have noticed some weight gain, dry mouth, very vivid dreams, and even periods of hallucinations, and memory loss. I also have had the worst migraines that I have ever had in my life for weeks at a time.",Take one 75mg pill at night.
clindamycin,1,Considerably Effective,Extremely Severe Side Effects,staphf infection,infection cleared up in a week,"30 days after finishing the meds i had severe abdominal pains, and was then diagnosed with diverticulitis[hemroids of the colon i was unable to work for 3 and a half months it is now 6 years later and im about to have part of my colon removed due to inflamation of the diverticulitis , the last 6 years have been a living hell from pain to constipation and diareia i hope this works as the drug changed my life from very heathy to very sick and on my death bed twice once from anafalactic shock to the most recent,an abbsessed liver which im still dealing with so i can have my operation and see if i can get rid of the constant pain i,v been in for 6 years. I WOULD NOT WISH THIS ON MY WORST ENEMY",4 times a day for 14 days the pain
topamax,8,Considerably Effective,Moderate Side Effects,"nerve pain, fibromyalgia","Able to move easier, not in as much pain, more energy, sleeping better, mood is stable.","stinging and tingling in lips, feet and hands, loss of appitite, weight loss of 16 pounds in less than a month.","I am being treated for nerve damage from a neck injury and fibromyalgia that causes terrible pain. After trying just about every drug on the market, my doc gave me topamax and I started feeling better immediately. The weight loss is a super bonus because I have gained 50 pounds from all the drugs I've been taking to treat my chronic pain, so hopefully I will lose more on topamax."
dispermox,1,Ineffective,Severe Side Effects,abcessed tooth,"Amoxicillin did little, if any, good for the infection I had with my abcessed tooth. I also had a skin lesion caused by a bacteria, per the doctor, but Amoxicillin did not effect this at all. It stayed the same through the days I took this antibiotic.","I had a severe allergic reaction in the form of red, extremely itchy, welps all over my body, but concentrated on my ribs, chest, and face.","After I had the reaction to amoxicillin, I discontinued use immediately.  I took 2 rounds of Benefryl and the rash cleared up.  The doctor then prescribed a much stronger antibiotic, as my tooth pain was worsening - Cipro."
hydrocortisone,10,Highly Effective,No Side Effects,eczema,This cleared up severe cracking and bleeding on hand. I have managed to avoid the condition for many months due to proper moisturization.,"there were none, but I was warned that overusage could thin the skin.",I was instructed to apply to affected area in the morning on  slightly damp skin.   I was to reapply a couple more times a day (especially after hand washing).  And to keep skin constantly moisturized.
oxycontin,4,Moderately Effective,Moderate Side Effects,post-surgical pain,"The pain was definitely reduced, from high discomfort to relatively low discomfort, so long as I wasn't moving. It also helped me to sleep some of the time.","During the second and third day, it seemed to increase my post-surgical nausea. Overall, in addition to drowsiness, I experienced a lot of dizziness. I'm not sure whether or not it affected my bowels returning to normal function.","At first I was given the oxycodone intravenously, with a button allowing me to choose when I wanted a dose (don't remember the amount) but limited in total amount and frequency (up to every 15 minutes, I think.) Afterwards, I took it in pill form. After several days I decided the side effects were too strong and  got a hydrocodone prescription, which had similar but more mild side effects. In retrospect, I wish that acupunture had been available; when I experienced an auricular 5-needle protocol several weeks later, I found the residual pain I had was immediately reduced, with none of the side effects."
atarax,1,Ineffective,Extremely Severe Side Effects,hives,"Synthroid aggravated my hives, tremendously.","The front of my legs were hot, swollen, and rashy.","Atarax was prescribed for my hives, and the second day, I started having a bad reaction!"
nexium,8,Considerably Effective,No Side Effects,esophogeal strictures,It relieved the actual pain of my inflammed stricture,none,Taken at the same time daily
prozac,2,Ineffective,No Side Effects,depression,None,None,"Took for several months, told my doctor it was NOT making a difference so she doubled the dose to 40 mg. I couldn't stand the thought of putting more chemicals in my body if they weren't doing anything so I never filled the doubled prescription and focused on counseling, which made a difference."
armour-thyroid,8,Considerably Effective,Moderate Side Effects,thyroid goiter,"Compared with synthroid that was prescribed to me in the beginning, I have fewer problems, like mood swings, sweating, weight gain, etc.","The problems have been reduced, but not eliminated completely. Alas, perhaps it is impossible :-))",For the last 8 years I am taking 90 mg Armour thyroid daily for treatment of my multinodular goiter.
